match_no,mode,duration_seconds,escaped_count,first_down_time_seconds,repair_progress_percent,is_abnormal,abnormal_reason,observed_issue_cn_30_chars
1,本地双控-主Hunter,28.0,0,17.0,25,TRUE,少于90秒,Hunter过早结束
2,本地双控-主Hunter,25.5,0,17.5,0,TRUE,少于90秒,Hunter过早结束
3,本地双控-主Survivor,96.8,1,24.0,100,FALSE,—,修完4机后1人逃生
4,本地双控-主Survivor,82.0,1,31.0,100,TRUE,少于90秒,对局低于有效时长
5,本地双控-主Survivor,92.0,1,26.0,100,FALSE,—,修完4机后1人逃生
6,本地双控-主Hunter,64.7,0,35.0,75,TRUE,少于90秒,Hunter结束偏快
7,本地双控-主Hunter,47.8,0,28.0,25,TRUE,少于90秒,Hunter结束偏快
8,本地双控-主Hunter,70.9,0,33.0,100,TRUE,少于90秒,终局未形成有效时长
9,本地双控-主Hunter,54.1,0,30.0,100,TRUE,少于90秒,Hunter结束偏快
10,本地双控-主Survivor,54.9,1,29.0,100,TRUE,少于90秒,Survivor过快逃生
11,本地双控-主Survivor,113.3,1,68.0,100,FALSE,—,终局撤离成功
12,本地双控-主Hunter,130.9,0,32.0,25,FALSE,—,Hunter淘汰2人但修机低
13,本地双控-主Hunter,116.7,0,67.0,50,FALSE,—,Hunter中期淘汰2人
14,本地双控-主Survivor,101.1,0,74.0,100,FALSE,—,开门后未撤离
15,本地双控-主Survivor,115.7,1,-1,100,FALSE,—,无倒地撤离成功
16,本地双控-主Hunter,248.9,0,65.0,50,FALSE,—,Hunter长局淘汰2人
